time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010446950000	18.7042	7.16259	4.9385	1.01208	0.39315	radar	0.725516	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
1477010447000000	18.9087	7.29135	4.88142	0.976801	0.320192	lidar	4.16895	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447050000	18.9923	7.50012	4.82081	1.02998	0.399351	radar	4.1027	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447100000	19.0807	7.76351	4.87301	1.0806	0.44009	lidar	1.05178	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447150000	19.2027	7.96997	4.87288	1.09193	0.419155	radar	0.33367	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447200000	19.2813	8.18519	4.85297	1.12455	0.435317	lidar	1.34368	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447250000	19.3819	8.39484	4.85233	1.13547	0.406205	radar	2.30405	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447300000	19.48	8.53976	4.74887	1.13522	0.381622	lidar	3.9771	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
1477010447350000	19.5699	8.74974	4.7276	1.16133	0.400895	radar	0.57945	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447400000	19.737	8.91786	4.6954	1.13715	0.343056	lidar	4.15409	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447450000	19.8074	9.14202	4.67811	1.17925	0.396101	radar	1.0554	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447500000	19.9396	9.36466	4.70607	1.18142	0.372023	lidar	2.97203	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447550000	19.9797	9.59229	4.67042	1.24072	0.458367	radar	2.58643	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447600000	20.0664	9.83069	4.6995	1.26182	0.455257	lidar	0.75314	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447650000	20.1276	10.0791	4.7423	1.28483	0.439725	radar	7.19663	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447700000	20.1732	10.3516	4.79966	1.32469	0.461442	lidar	0.850259	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447750000	20.1852	10.5923	4.78187	1.38226	0.530707	radar	2.59641	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447800000	20.2425	10.8629	4.83718	1.40857	0.528438	lidar	2.03208	20.371	11.0109	20.1663	10.864	0.722256	4.7934
1477010447850000	20.2727	11.1194	4.86897	1.43292	0.511154	radar	4.92571	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447900000	20.3066	11.3565	4.86366	1.45618	0.508475	lidar	0.0103816	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
1477010447950000	20.2456	11.6109	4.84466	1.5505	0.649961	radar	9.56017	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448000000	20.3182	11.8474	4.84239	1.55103	0.609858	lidar	5.21165	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
1477010448050000	20.3499	12.0804	4.84891	1.53896	0.504027	radar	4.22806	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448100000	20.3363	12.3655	4.91313	1.57588	0.515454	lidar	1.0269	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
1477010448150000	20.2831	12.606	4.89218	1.64427	0.610891	radar	2.71646	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448200000	20.309	12.8432	4.87928	1.65406	0.58587	lidar	2.08328	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
1477010448250000	20.2974	13.0756	4.86228	1.678	0.5809	radar	2.12242	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448300000	20.2617	13.2878	4.81995	1.70855	0.584687	lidar	1.00211	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
1477010448350000	20.2243	13.5235	4.82077	1.72952	0.557846	radar	1.35289	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448400000	20.2049	13.7806	4.84565	1.74836	0.545671	lidar	1.37856	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
